NAME,H INDEX,IMPACT FACTOR
Advances in Mathematical Fluid Mechanics - Dedicated to Giovanni Paolo Galdi on the Occasion of His 60th Birthday,2,1.3043791759231786
"Optical Fiber Communication Conference, OFC 2015",16,1.591116948367041
"Proceedings of the 9th International Conference on Web and Social Media, ICWSM 2015",13,1.5296731399862133
"Proceedings - 2014 International Conference on 3D Vision, 3DV 2014",9,1.4477480621451098
SA 2016 - SIGGRAPH ASIA 2016 Courses,2,1.3043791759231786
"Society of Petroleum Engineers - SPE Hydraulic Fracturing Technology Conference, HFTC 2016",6,1.386304253764282
"Proceedings of the 3rd ACM SIGPLAN Program Protection and Reverse Engineering Workshop 2014, PPREW 2014",4,1.3453417148437303
"2016 IEEE International Conference on Communications, ICC 2016",10,1.4682293316053858
HotPOST 2016 - Proceedings of the 8th MobiHoc International Workshop on Hot Topics in Planet-Scale mObile computing and online Social Networking,2,1.3043791759231786
"NAACL HLT 2015 - 2015 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Proceedings of the Conference",18,1.632079487287593
"2014 IEEE Global Communications Conference, GLOBECOM 2014",12,1.5091918705259375
"2015 IEEE Workshop on Applications of Signal Processing to Audio and Acoustics, WASPAA 2015",7,1.406785523224558
"Proceedings of the 8th International Conference on Computational Plasticity - Fundamentals and Applications, COMPLAS 2015",1,1.2838979064629026
ASIA CCS 2016 - Proceedings of the 11th ACM Asia Conference on Computer and Communications Security,8,1.427266792684834
"Physics of Reactors 2016, PHYSOR 2016: Unifying Theory and Experiments in the 21st Century",4,1.3453417148437303
UbiComp 2015 - Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing,19,1.6525607567478688
"2016 IEEE Real-Time and Embedded Technology and Applications Symposium, RTAS 2016 - Proceedings",7,1.406785523224558
"Proceedings of the 13th ACM Workshop on Hot Topics in Networks, HotNets 2014",10,1.4682293316053858
"2015 IEEE International Conference on Pervasive Computing and Communications, PerCom 2015",9,1.4477480621451098
"76th EAGE Conference and Exhibition 2014, Workshops",3,1.3248604453834545
"3rd International Workshop on Green and Sustainable Software, GREENS 2014 - Proceedings",4,1.3453417148437303
HT 2014 - Proceedings of the 25th ACM Conference on Hypertext and Social Media,9,1.4477480621451098
"2015 IEEE Compound Semiconductor Integrated Circuit Symposium, CSICS 2015",7,1.406785523224558
IEEE Pacific Visualization Symposium,13,1.5296731399862133
"Eurographics Workshop on 3D Object Retrieval, EG 3DOR",20,1.6730420262081447
"2014 3rd International Workshop in Optical Wireless Communications, IWOW 2014",6,1.386304253764282
"IEEE Intelligent Vehicles Symposium, Proceedings",61,2.5127740740794566
Real-Time Technology and Applications - Proceedings,40,2.0826674154136624
Data Compression Conference Proceedings,46,2.205555032175318
"2015 IEEE International Conference on Communication Workshop, ICCW 2015",15,1.5706356789067653
"Mathematics and Computations, Supercomputing in Nuclear Applications and Monte Carlo International Conference, M and C+SNA+MC 2015",4,1.3453417148437303
"SLE 2016 - Proceedings of the 2016 ACM SIGPLAN International Conference on Software Language Engineering, co-located with SPLASH 2016",4,1.3453417148437303
GECCO 2015 - Proceedings of the 2015 Genetic and Evolutionary Computation Conference,11,1.4887106010656617
IH and MMSec 2014 - Proceedings of the 2014 ACM Information Hiding and Multimedia Security Workshop,7,1.406785523224558
"Proceedings - 2015 International Conference on 3D Vision, 3DV 2015",7,1.406785523224558
WiSec 2014 - Proceedings of the 7th ACM Conference on Security and Privacy in Wireless and Mobile Networks,8,1.427266792684834
"Proceedings of the 2014 6th International Conference on Mobile Computing, Applications and Services, MobiCASE 2014",5,1.3658229843040062
"2014 International Conference on Hardware/Software Codesign and System Synthesis, CODES+ISSS 2014",10,1.4682293316053858
"IEEE SSCI 2014: 2014 IEEE Symposium Series on Computational Intelligence - CIDUE 2014: 2014 IEEE Symposium on Computational Intelligence in Dynamic and Uncertain Environments, Proceedings",3,1.3248604453834545
Advances in Modal Logic,7,1.406785523224558
